review,label
đèn không đủ sáng thiết_kế sơ_sài dùng tạm sau đó sẽ phải thay đèn khác,0
bình mới mua về đổ nước nóng vào sau thấy bên ngoài bình nóng nước bên trong thì không còn nóng nhiều thật thất_vọng,0
không chắc chắn giá đỡ yếu,0
đề_nghị tiki hỗ_trợ mình mới mua được hôm chưa dùng nay đã bị hỏng không dùng được mong tiki phản_hồi sớm,0
không_thể kết_nối wifi cho camera dù đã đổi nhiều mạng vẫn không được tiki mới ngày đã không cho đổi trả hàng,0
giao hàng chậm lại bị vỡ hỏng mất cái lắp mua hàng của tiki mà thất_vọng quá,0
mặt nệm ghế không biết là lỗi hay sao mà các lỗ thông hơi chỉ có bên ảnh_hưởng đến thẩm_mỹ cho sao,0
chờ lâu sử lý đơn chậm,0
mình đã nhận chuột và rất không hải lòng vì chuột không giống ảnh hàng giả thiếu chữ tech nhờ chủ cửa_hàng liên_hệ để nhận lại,0
ke chă nhưng cứng quá hơi kho uô,0
lấy hàng dỏm và bị hư lỗi bán hàng không có uy_tín mọi người nên tẩy_chay nhà bán hàng này nha,0
không xài được tại nghe hư,0
cá mặn kinh_khủng không có vị cá như đùa khách_hàng kiếm được đồng_tiền kiểu này không bền lâu đâu,0
hàng giả nước xả lỏng khôngđậm đặt như hàng hãng khuyên mọi người khôngnên mua tiếp_tay cho hàng giả tràng lang ra thị_trường,0
loa phát ra quá nhỏ hát bị tiếng hú,0
nhìn như đồ cũ bên trong thì rách tè le,0
mua hàng dịch_vụ không tốt sản_phẩm sạc bị nóng mà không được đổi trả cứ lấy đi lấy lại kiểm_tra mất thời_gian của khách_hàng mất_lòng tin với dịch_vụ mà tiki mang lại sẽ không ủng_hộ lần sau,0
cổng usb sạc dự_phòng không sạc được điện_thoại đèn đã được cắm sạc khi sử_dụng cổng usb,0
bình vận_chuyển làm móp nắp,0
sản_phẩm kém chất_lượng mua con mỗi con dùng được hơn tháng đã hỏng không dùng được nữa rồi,0
gói hàng cẩu_thả,0
thảm mỏng và bị bung ra giữa lớp,0
yêu không cứng_cáp nên lựa_chọn sản_phẩm khác,0
lỗi hình_ảnh camera bị hiện_tượng hình trắng_xoá cho hỏi cách khắc_phục hoặc đổi trả,0
đóng hàng hơi ẩu không có hộp to đựng sản_phẩm làm sản_phẩm bị va_đập nhiều chất_lượng trước_mắt cũng tạm ổn còn dùng lâu_bền và chất_lượng thì chưa biết được,0
yêu_cầu trả lại hàng quảng_cáo một kiểu giao hàng một kiểu giải_thích không rõ_ràng khách hang xem thông_tin sản_phẩm coa tích_hợp xạc không dây nhưng lại gửi loại không tích họp xạc không dây,0
chất_lượng kém,0
bên trong dính keo không rửa sạch được,0
quá tệ ống mỏng chất_lượng kém,0
báo lỗi pin mà nó kiểm_tra nó bảo không lỗi không nên mua,0
giao hàng sai điểm đến rất thất_vọng,0
chuột đưa hình sản_phẩm không giống với thực_tế mã sn trên hộp cũng không giống với mã của sản_phẩm,0
không sử_dụng được muốn sử_dụng phải đem đi nhờ hàn các mối dây,0
mới dùng được tháng đã hỏng,0
giỏ quá mỏng và nhỏ còn đồng_hồ hư như tặng chi cho mang_tiếng có quà tặng vậy có chạy đâu dây thì bung da rách_nát thất_vọng quá,0
sơn bị tróc sau thời_gian sử_dụng,0
chi_tiết đơn hàng pin của sản_phẩm chỉ xài được đúng lần giờ phải sử_dụng điện trực_tiếp từ adaptor,0
minh mới nhận hàng mở hộp ra thì chuột đang trang thái bật on mà đèn của chuột không sáng thử kết_nối vào máy_tính cũng không có tính hiệu gì,0
giao hàng châm trễ hàng giao lỗi không sử_dụng được,0
bình_thường chấp_nhận được cước_phí giao hàng hơi cao,0
sản_phẩm lỗi không sử_dụng được,0
không có quà tặng,0
bình mới nhận về đã hỏng quai đeo,0
sao hàng không còn vỏ hộp chỉ bọc lại bằng nilon,0
quá tệ không dùng được mà cũng không trả hàng được,0
mập_mờ khi cung_cấp cỡ sản_phẩm,0
lừa_đảo hàng điểu nha anh_em hàng nhìn tởm không như hình tránh xa cửa_hàng này ra nha,0
giao hàng nhanh hơi vỡ nhé,0
giao hàng chậm huỷ rồi mà vẫn giao,0
tệ mỗi lần mất điện xong camera không_thể kết_nối lại mạng phải cài_đặt lại mất thời_gian rắc_rối cho ngừoi dùng chán lắm không bao_giờ mua loại này neax,0
phần nhựa còn nhiều bavia lưới mỏng khả_năng bị biến_dạng cao cho cảm_giác rẻ_tiền và dễ rách phần tăng chỉnh độ ngả_lưng không mượt cứng khó thao_tác,0
tạm được phần kẹp mỏng nhẹ phần giá quá cứng và nặng khó xài,0
treo đâu dê bán thịt sao sao sao mua hạng nên cận thận,0
xấu chất lương không đạt,0
giao hàng quá chậm đề_nghị xem_lại,0
hang đểu không dung được,0
chất_lượng camera kém quá hình không mờ không rỏ nét gì hết vậy_mà để độ_phân_giải sợ cái ông tiki này luôn,0
hàng bụi bẩn đầy không sạch_sẽ,0
được tầm phút là nó nóng lên không xịt nữa tắt ngúm luôn,0
xai tam,0
loa âm_thanh không lớn lắm khi hat lời hát micro không hoà cùng âm_nhạc micro hút giọng yếu kg như cáo đề nghị trả hàng,0
ezviz thì ngon mà sản_phẩm mình nhận bị lỗi loa rè quá bật lên không nói gì đã rè điết tai tiki có đổi lại cái khác cho mình ko,0
không như quảng_cáo,0
đăng mua combo tặng thêm kem đánh răng khi giao không có quà tặng như trên ảnh đã đăng,0
mua kg được giao bịch nhưng mở ra thì mùi hôi xộc thẳng vào mũi thịt thì bở rệp rã nát chỉ còn nước quăng thùng rác mùi hôi ngày mới hết,0
ko có pin phải cắm điện thường_xuyên,0
tiki now giao hàng lâu khi giao lại thiếu thanh kẹp điện_thoại nữa,0
dùng tháng bị lỗi máy chậm hay đơ,0
thật_sự thất_vọng hình_ảnh camera rất mờ so với mp,0
có_thể là do vận_chuyển bình bị móp nắp bình vết,0
hơi nhỏ so với tay của mình,0
hàng của mình bị gãy đóng_gói không cẩn_thận đồ dễ gãy nhưng đóng_gói không_lưu cũng không có đồ chống xốc,0
