comment,label
mẫu_mã đẹp con_số rõ_ràng chất_lượng,1
sản_phẩm tốt tin dầu thơm cho cửa_hàng đóng hàng kỹ cửa_hàng tư_vấn nhiệt_tình dễ_thương,1
không nên mua,0
ngon đúng vị thích đặt_hàng ăn ngon lắm cửa_hàng,1
hàng chất_lượng tốt hàng chính hãng đóng_gói cẩn_thận cảm_ơn tiki hàng điện_tử tui chỉ an_tâm mua tiki thôi,1
sử_dụng hiệu_quả hoàn_hảo để dùng hằng,1
mới xài hư không nghe,0
hàng kèm cũ sứt_mẻ,0
xài êm tốt còn về thời_gian thì vẫn quá_trình sử_dụng,1
xả nước kéo thẳng di_chuyển vòng xíu gấp_khúc nghẻn nước khá khó_chịu,0
không hiệu_quả giỏ ra tổ kiến ăn không thấy tác_dụng,0
dễ sử_dụng,1
chất_liệu chất_lượng cao mua một lần xài tốt nên quay lại mua tiếp cửa_hàng làm_ăn uy_tín đáng tin_tưởng,1
màu_sắc rực_rỡ đa_năng cho các bề_mặt khác nhau tuyệt_vời cho các dự_án diy sẵn màu_sắc,1
xài ổn_áp chức_năng đủ theo giá tiền,1
bán hàng không tâm không quan_tâm khách_hàng,0
êm tay không tiếng ồn xài chuột di_chuyển con_trỏ mượt,1
sản_phẩm hoàn_thiện tốt sử_dụng tốt giá_thành tốt đóng_gói tốt,1
sản_phẩm cứng_cáp xứng_đáng giá tiền,1
nhận hàng kết_quả không mong_đợi nhé hình một ngã giao một nẻo hình logo giao hàng không logo sản_phẩm chỉ mội bao_bì in tin như_thế_nào,0
đúng mẫu đẹp,1
bền bền_bỉ tiết_kiệm thời_gian công_sức động_cơ mạnh_mẽ cho xay hiệu_quả mạnh_mẽ hiệu_quả,1
mặc,1
tuyệt_vời cho các dự_án tự chịu nhiệt_độ cao màu_sắc để lựa_chọn màu_sắc để lựa_chọn,1
chất_lượng quá tệ không đúng quảng_cáo,0
đồ ngon lắm các nhìn muốn nhấp nhấp nhấp click click click haha,1
tưởng mua hàng ngon ai dè hàng giả mùi nồng khó_chịu cửa_hàng lừa_đảo nhé mọi người nên tránh xa,0
chuột tay nhạy thích,1
tốt job,1
sản_phẩm tương_đối tốt giống mô_tả thân đèn có_vẻ không chắc_chắn lắm dễ rung lắc với_lại mới sử_dụng một_chút đèn khá nóng không biết về lâu_dài vấn_đề không,0
sản_phẩm dễ dùng đúng mô_tả,1
điện_thoại nặng thì bị lung_lay,0
làm_ăn kiểu lừa_dối khách_hàng mọi người đừng thấy tặng vội bấm mua nhen,0
xấu quá lại quá bé to túi lên mới đẹp,0
thơm,0
vượt mong_đợi tầm giá,1
chất_lượng quá tồi không đúng quảng_cáo,0
chuột tốt nhạy êm ha ng đóng_gói cẩn_thận giao nhanh,1
vòi nhỏ tưới rau thì còn xịt rửa thì cần máy mới lực còn vòi_nước bình_thường thì không xịt sạch nhé,0
thông_tin số tờ số lớp không rõ_ràng thông_tin tờ thực nhận tờ lớp gây ra sự nhầm_lẫn thông_tin không đáng ảnh_hưởng uy_tín niềm tin khách_hàng dành cho sản_phẩm mua lần duy_nhất thôi,0
công_thức nhẹ_nhàng không mất dầu tự_nhiên thúc_đẩy tóc khoẻ bóng mượt,1
thảm trơn khó tập động_tác khó,0
mua loại gửi loại không đúng hàng,0
hộp thì rách_nát bẹp dúm nồi bị lõm nhắn nhờ đổi hàng thì cửa_hàng lươn_lẹo kêu vẫn dùng,0
hàng kém chất_lượng lắm luôn,0
quần giống mô_tả vải không bị mỏng quá hay dày quá,1
bình_thường không nên mua giao hàng siêu chậm,0
không dày_dặn cứng_cáp nghĩ so giá tiền khá ổn đóng_gói cẩn_thận giao hàng nhanh,1
mua dùng thgian ok,1
đẹp dự_kiến luôn,1
nhận hành nhanh đóng_gói chắc_chắn đẹp,1
bao_bọc cẩn_thận chuột xài đúng mô_tả,1
giao hàng hơi chậm so thời_hạn chuột sử_dụng ổn không gây tiếng ồn kết_nối usb tốt cảm_giác chuột đầm tay mới chuyển sử_dụng nên chưa quen lắm một điểm cần lưu_ý giá khá cao không hai chế_độ kết_nối blutooth usb cho sản_phẩm,0
hơi lắc_lư,0
sản_phẩm chính hãng giao hàng nhanh chất_lượng âm_thanh phù_hợp giá tiền,1
yêu_cầu trả lại hàng quảng_cáo một kiểu giao hàng một kiểu giải_thích không rõ_ràng khách hang xem thông_tin sản_phẩm coa tích_hợp xạc không dây lại gửi loại không tích họp xạc không dây,0
sản_phẩm khá đẹp kèm thêm cửa_hàng tư_vấn nhiệt_tình ngoài_ra cửa_hàng còn quà tặng mùa dịch cực_kỳ tâm_lý,1
bơm giảm sử_dụng tuần hư bỏ luôn,0
kết_hợp bang phím câm_lặng tạo ra_bộ đôi âm_thầm làm_việc,1
sản_phẩm hữu_dụng dùng nấu nồi lẩu cho gia_đình nho_nhỏ,1
đẹp mua nói_chung tốt mua đi mọi người,1
không xài nghe hư,0
mua giá hời thẻ nhớ rẻ so thị_trường đóng_gói ok hàng lấy ảnh thẻ nhớ đủ phụ_kiện mọi người nên mua nha,1
mua chất_lượng thì khỏi chê chứ tiki trading phang nha ae,1
tiki làm_ăn ẩu_tả hàng hư_hỏng bể nát vẫn giao kho khách sản_phẩm quá tệ,0
ko mong_muốn sản_phẩm màu không đẹp,0
nhà mua thứ ba màu đen màu đỏ xài ngon bền không bị tay,1
hoàn_hảo cho nhu_cầu nấu_ăn,1
dễ sử_dụng,1
giao hàng quá chậm mới nhận,0
sản_phẩm chất_lượng kiểu_dáng gọn_nhẹ dễ lắp_đặt sử_dụng giá_cả rẻ,1
dễ_dàng sạch bảo_trì chống trượt thấm hút,1
không thơm xả vải lần quần_áo vẫn còn xà_phòng không biết đâu thất_vọng quá đó coa mua các tiệm tạp_hoá thì thấy thơm,0
chống nước nhẹ phù_hợp cho hoạt_động ngoài_trời,1
xài khá ổn,1
chuột nhạy click êm không nghe tiếng kêu,1
chỗ để thay nước tiện_lợi bàn_ủi không nặng lắm mua hiệu tốt nên chưa thấy bị điện giật tốt để ủi áo conton vải mỏng thôi vải dày ủi lâu không thẳng,1
mua về kính không tối các bác cứ trong_veo luôn,0
chất_liệu nệm không tốt so giá tiền ghế,0
phí tiền đừng mua nhé,0
ok lắm,1
quá loãng không hàng thật,0
bộ quần_áo mưa đóng_gói cẩn_thận mới nhìn cảm_nhận tương_xứng phù_hợp giá tiền cỡ vừa_vặn đúng theo hướng_dẫn người bán hàng,1
hàng khác hình_ảnh usb receiver không khớp khó cắm cổng usb nút nhấn lún quá sâu click chuột,0
chất_lượng chất_liệu bền đáng_giá tiền giao hàng nhanh đóng_gói cẩn_thận,1
sử_dụng oke,1
giao hàng nhanh đóng goi kÿ,1
rung bình thường muốn chạy ra nhà,0
đem lại giá_trị so số tiền bỏ ra,1
cửa_hàng chính hãng quá tệ làm_ăn không uy_tín báo khuyên mại món hàng về không đồ khuyến_mại nào không hiểu đóng_gói thiếu hay cố_tình treo đầu dê bán thịt chó nữa,0
một món không_thể bỏ_qua cho những người yêu thích ẩm_thực hương_vị ngon thật_sự đặc_trưng,1
làm_ăn mất uy_tín,0
đẹp giao hàng nhanh,1
từ đá tan không giới_thiệu thất_vọng về chất_lượng,0
giao nhanh thành tuần tiki làm_ăn lừa_đảo,0
giao hàng chậm lại bị vỡ hỏng mất lắp mua hàng tiki thất_vọng quá negative,0
quá tốt,1
chất_lượng quá tệ không đúng quảng_cáo,0
để lại cảm_giác mát lạnh da đầu tóc cảm_thấy sạch_sẽ tươi_mát,1
nửa tiếng không sôi,0
đề_nghị tiki hỗ_trợ mới mua hôm chưa dùng nay bị hỏng không dùng mong tiki phản_hồi sớm,0
chuột sử_dụng êm tay đóng_gói cẩn_thận giao hàng nhanh,1
bao_bì đóng_gói khôn_khéo thông_minh,1
cửa_hàng giao sản_phẩm bị bể thật thất_vọng về cửa_hàng quá,0
